kingdom_name,CD,CR,DD,EN,EW,EX,LC,NT,VU,All
ANIMALIA,40.5122,969.6507,1059.4821,1287.5834,29.0631,423.6167,2546.1037,723.9354,1727.0527,8807.0
PLANTAE,5.4878,131.3493,143.5179,174.4166,3.9369,57.3833,344.8963,98.0646,233.9473,1193.0
All,46.0,1101.0,1203.0,1462.0,33.0,481.0,2891.0,822.0,1961.0,10000.0
